head,relation,tail
573,3,6634
339,3,6594
2262,0,7481
342,3,6274
2579,0,4856
611,3,6595
519,3,6922
2579,0,3977
181,3,6971
3045,2,569
2557,0,7250
2579,0,4886
2579,0,3821
1601,1,2979
674,1,3092
503,3,6281
2023,1,3088
6846,4,6030
3056,2,422
1480,1,3055
373,3,6912
199,3,6442
1585,0,3358
6902,4,3223
2551,1,3064
147,3,6852
6887,4,6030
472,3,6577
185,3,6496
841,0,7010
486,3,6736
2244,0,3381
6553,4,3228
2579,0,4802
2579,0,4832
3001,2,339
336,3,6958
2579,0,4774
392,3,6464
2277,0,6075
503,3,6196
6400,4,5905
510,3,6959
6574,4,3162
1807,0,5988
481,3,6930
198,3,6676
429,3,6698
2436,1,2959
2321,1,3100
270,3,6642
153,3,6357
6551,4,3244
1458,1,2880
1112,0,7387
2275,0,6076
6695,4,3183
3006,2,98
238,3,6585
263,3,6177
187,3,6954
601,3,6495
508,3,6799
1888,1,2894
238,3,6323
2314,1,3009
2579,0,4399
287,3,6611
1992,1,2946
564,3,6638
2579,0,4201
166,3,6202
1496,0,7137
601,3,6697
2579,0,5392
621,3,6598
1540,1,3092
641,3,6238
634,3,6197
2579,0,4275
496,3,6507
2448,1,3089
2579,0,4070
2579,0,3569
2519,1,3098
1568,1,3112
6901,4,5918
1340,0,6051
562,3,6955
2886,2,450
6381,4,7108
3049,2,329
6175,4,22
1260,0,7497
388,3,6842
278,3,6764
488,3,6367
339,3,6582
641,3,6242
2917,2,337
2579,0,4310
451,3,6182
336,3,6661
595,3,6519
170,3,6675
510,3,6737
2579,0,4459
723,0,3335
606,3,6814
2834,2,637
2579,0,4910
1900,1,2882
510,3,6476
112,3,6923
2579,0,4866
2889,2,522
2005,0,7374
2579,0,3784
1115,0,7486
513,3,6290
481,3,6385
2579,0,4463
485,3,6238
1180,0,65
2579,0,4300
1695,1,3064
451,3,6799
684,0,7296
723,1,3092
184,3,6344
6703,4,6139
480,3,6559
2423,1,2871
335,3,6195
1398,1,2880
6400,4,7108
2227,0,7364
192,3,6549
1037,0,5900
2664,0,3115
1965,1,2735
2579,0,3435
1658,0,7395
2187,0,3184
104,3,6738
2579,0,3471
183,3,6495
518,3,6854
2949,2,250
2891,2,211
404,3,6715
235,3,6419
2201,0,6152
3019,2,535
510,3,6601
2849,2,552
3030,2,649
2835,2,116
391,3,6555
2579,0,4210
6279,4,7108
486,3,6238
6623,4,3163
499,3,6707
6798,4,3228
382,3,6206
764,0,6126
2579,0,5458
697,0,7369
2579,0,5257
615,3,6718
352,3,6469
2579,0,4421
6957,4,3228
526,3,6602
6496,4,7106
2579,0,3627
6885,4,6030
248,3,6479
2682,1,2914
377,3,6970
1317,0,3331
2402,0,7478
375,3,6578
1279,1,3055
1127,0,7186
455,3,6900
474,3,6196
516,3,6894
3056,2,433
583,3,6357
6799,4,7108
2579,0,5230
1546,1,3064
235,3,6281
296,3,6295
824,1,2974
2579,0,3742
335,3,6468
2579,0,4571
2579,0,4542
2579,0,3797
234,3,6485
493,3,6352
2579,0,5516
1531,0,6163
211,3,6595
2263,0,5922
416,3,6951
2579,0,3819
151,3,6675
140,3,6175
2297,1,2735
459,3,6552
812,0,3264
503,3,6236
465,3,6693
228,3,6439
2439,0,7367
2579,0,3905
6705,4,6016
6959,4,7108
1377,1,3087
2900,2,332
494,3,6958
354,3,6865
2927,2,402
2579,0,4757
216,3,6594
1281,0,7329
2579,0,3550
469,3,6507
2068,1,2882
2007,0,5934
158,3,6518
2579,0,4589
185,3,6611
826,1,2713
501,3,6300
1079,0,3178
481,3,6312
6916,4,48
2579,0,4253
6647,4,3228
417,3,6329
1397,0,3171
184,3,6507
6683,4,54
2009,0,7301
417,3,6901
1498,0,5913
182,3,6601
2579,0,5226
2094,0,3236
555,3,6351
517,3,6368
1420,0,5991
506,3,6799
291,3,6923
375,3,6764
459,3,6511
1936,1,2880
556,3,6261
180,3,6935
296,3,6257
108,3,6465
578,3,6415
2579,0,3458
581,3,6642
2880,2,495
628,3,6552
6749,4,3362
1848,0,5950
585,3,6520
417,3,6642
1127,1,3049
3055,2,248
2579,0,5152
2679,1,3104
2085,0,7346
2976,2,591
2579,0,3546
2579,0,5607
231,3,6221
611,3,6518
6949,4,6030
1677,1,3064
1223,0,6074
2579,0,4543
940,0,7389
1556,0,7242
6966,4,54
2477,0,6029
2041,1,3087
2425,1,3092
192,3,6747
534,3,6680
1902,1,2880
2579,0,5827
467,3,6496
2891,2,635
1167,1,2848
6344,4,6037
2579,0,5711
6350,4,7109
339,3,6195
2579,0,4977
3090,2,647
979,0,3264
493,3,6364
183,3,6496
1208,0,3265
1604,1,2979
437,3,6533
247,3,6240
2592,1,2917
355,3,6213
1626,1,2878
2579,0,4550
6627,4,84
1688,1,3087
2579,0,5135
555,3,6897
618,3,6177
6572,4,5941
454,3,6475
195,3,6683
6770,4,6139
2073,0,7474
2579,0,5093
6617,4,7109
2027,1,3088
496,3,6508
359,3,6624
3076,2,263
1213,1,2847
2579,0,4019
2566,0,7334
2579,0,4928
1638,1,3087
2469,0,5932
472,3,6380
2579,0,4493
2579,0,4481
570,3,6761
2755,2,480
441,3,6595
6630,4,5917
2468,1,3060
353,3,6453
2297,0,6071
437,3,6193
226,3,6485
6203,4,3183
357,3,6286
476,3,6378
131,3,6830
986,1,3062
1755,1,3026
6382,4,3183
2579,0,5497
2917,2,648
1154,0,5904
1201,0,3265
491,3,6867
252,3,6948
6934,4,7109
2483,0,3123
2978,2,169
530,3,6482
1065,0,3360
507,3,6172
1327,0,7173
593,3,6520
2579,0,5167
620,3,6292
105,3,6649
1653,0,6057
1901,0,5964
2460,0,7416
654,3,6875
1048,1,3064
605,3,6935
1436,0,6005
514,3,6659
1243,0,6077
2345,0,3267
461,3,6941
2507,0,3124
235,3,6572
1769,1,2880
2579,0,4255
2579,0,5539
429,3,6703
616,3,6744
750,1,2957
135,3,6284
6489,4,6090
270,3,6564
2579,0,4359
2931,2,284
486,3,6889
2917,2,634
507,3,6828
2455,0,7238
1177,0,5904
2579,0,3708
379,3,6195
603,3,6495
2999,2,523
1390,1,3112
6549,4,3363
1380,1,2959
6245,4,5941
1290,0,6075
2123,1,2979
2579,0,5555
6791,4,6088
2579,0,3585
1559,0,3212
1959,1,2997
1918,1,2873
2650,0,7102
155,3,6940
513,3,6572
2579,0,4714
1325,0,5912
1784,1,2880
161,3,6891
607,3,6780
3041,2,376
576,3,6416
219,3,6718
696,1,2957
2436,0,6993
3024,2,250
306,3,6334
382,3,6495
2927,2,449
2143,1,2928
2579,0,3875
1590,1,3064
1104,0,7428
1925,1,2894
2600,1,3100
345,3,6616
2354,0,3327
217,3,6764
1097,1,3064
2579,0,4593
494,3,6682
514,3,6867
1479,0,7364
1794,0,5993
1955,1,3062
2579,0,4384
2579,0,3795
950,0,7472
6803,4,6087
626,3,6903
392,3,6605
1580,1,3056
3044,2,419
212,3,6473
476,3,6661
2579,0,4413
2194,0,7216
354,3,6521
640,3,6822
2677,1,3056
340,3,6576
3029,2,232
6478,4,7106
334,3,6533
410,3,6295
2579,0,4781
2975,2,534
650,3,6743
3045,2,367
148,3,6304
336,3,6380
357,3,6221
2380,0,7399
584,3,6920
2641,1,3056
268,3,6765
513,3,6281
2579,0,5374
798,0,7364
243,3,6439
1561,1,3092
2520,1,3087
713,1,3092
308,3,6878
357,3,6220
2623,1,2712
382,3,6380
6900,4,6016
155,3,6192
1614,0,3402
486,3,6825
474,3,6533
230,3,6570
3053,2,551
2579,0,3573
1076,1,2979
3010,2,100
2579,0,5013
2579,0,3541
1081,1,3087
409,3,6634
2579,0,3436
181,3,6738
243,3,6285
403,3,6372
6171,4,7109
388,3,6837
6422,4,6090
3013,2,307
559,3,6827
340,3,6378
156,3,6617
3049,2,629
1055,1,2807
2028,1,3100
2579,0,4445
178,3,6498
1123,0,6045
2579,0,4671
2848,2,506
2817,2,148
2185,0,3184
2579,0,4333
287,3,6948
489,3,6348
2621,1,2873
6626,4,54
6248,4,54
106,3,6532
3113,2,95
643,3,6554
2397,1,2916
194,3,6744
747,1,2883
1389,1,3112
2579,0,5663
2579,0,3475
2579,0,5869
1584,1,2880
607,3,6271
2579,0,5707
2880,2,444
2579,0,5498
278,3,6577
2579,0,3787
2416,0,7402
184,3,6510
1692,0,7141
2715,2,164
1055,0,6024
2916,2,146
485,3,6825
2972,2,341
6201,4,54
298,3,6421
2450,1,2767
383,3,6228
2452,1,2856
2656,1,2894
234,3,6284
6970,4,3183
2360,0,7000
1031,0,6140
2579,0,5649
1036,0,5900
6934,4,7108
2579,0,5803
358,3,6865
486,3,6615
2579,0,5829
157,3,6503
965,0,3264
601,3,6264
519,3,6475
6514,4,3244
351,3,6866
174,3,6767
550,3,6923
2268,0,7320
2901,2,307
2870,2,157
2817,2,533
616,3,6534
483,3,6505
271,3,6913
359,3,6493
2847,2,594
2340,0,7471
276,3,6348
412,3,6718
3041,2,386
6726,4,48
1827,1,2882
2579,0,5290
387,3,6908
474,3,6963
2579,0,4953
505,3,6726
1857,0,6000
382,3,6192
296,3,6483
448,3,6274
2754,2,632
199,3,6352
2072,0,3189
718,1,3092
6687,4,22
2863,2,419
1926,0,5979
607,3,6919
2093,1,2978
6869,4,6030
400,3,6872
2828,2,629
671,1,3064
1840,1,2880
97,3,6823
2579,0,4427
772,1,3087
2919,2,644
6705,4,7108
403,3,6422
265,3,6577
6499,4,5941
584,3,6904
6335,4,6087
2231,0,7364
2983,2,498
501,3,6904
584,3,6182
2939,2,307
6521,4,6139
1904,1,2882
212,3,6616
1715,1,3064
361,3,6933
6628,4,7106
2285,1,2960
2579,0,4976
2148,1,2832
585,3,6673
2437,0,7460
6363,4,5941
535,3,6599
221,3,6501
383,3,6605
1034,0,55
2579,0,3607
1821,1,3064
2579,0,5208
1853,0,6000
6605,4,3228
758,0,6023
344,3,6400
2481,0,6029
2579,0,3943
2579,0,5064
234,3,6302
3056,2,121
1367,0,3389
169,3,6941
212,3,6677
2290,1,2856
6688,4,7108
2910,2,412
6534,4,6037
513,3,6919
142,3,6800
527,3,6582
6289,4,71
616,3,6745
2579,0,5002
1227,0,6071
336,3,6578
2526,0,3124
2828,2,464
505,3,6666
102,3,6177
2884,2,597
467,3,6509
1667,0,6078
777,0,7213
1136,0,5904
376,3,6214
2725,2,332
2579,0,5098
2162,1,2946
2579,0,5355
594,3,6812
1652,0,6085
2882,2,527
448,3,6861
641,3,6200
568,3,6197
181,3,6304
497,3,6654
2379,1,2942
261,3,6648
6267,4,5917
2579,0,4025
152,3,6760
339,3,6797
2735,2,475
400,3,6949
6366,4,54
215,3,6526
542,3,6894
2847,2,600
2730,2,111
1303,0,3171
2579,0,3883
2268,1,3087
2579,0,3501
2579,0,3628
2579,0,3421
217,3,6726
2579,0,4131
564,3,6790
1776,0,6004
1968,1,2847
616,3,6755
3001,2,211
2897,2,583
2956,2,333
563,3,6953
493,3,6562
1538,0,7419
2821,2,270
164,3,6534
2579,0,5073
418,3,6511
1996,1,3056
2739,2,187
2579,0,4477
2579,0,4952
2579,0,5059
527,3,6608
108,3,6295
2254,1,3092
6554,4,5917
1701,0,5896
618,3,6943
2579,0,3906
6950,4,6030
1371,1,2882
2793,2,556
758,1,3064
1160,1,2873
6681,4,3362
542,3,6851
1822,1,2880
587,3,6771
2579,0,4312
6290,4,6037
1366,0,6073
2898,2,580
459,3,6628
1188,0,3265
340,3,6617
606,3,6926
2497,0,6071
409,3,6627
479,3,6739
590,3,6480
1774,0,5991
2541,1,3087
616,3,6939
474,3,6634
354,3,6358
567,3,6417
827,1,2712
6344,4,7108
3037,2,644
2196,1,3079
6681,4,3244
2291,0,7470
1781,1,2880
618,3,6319
2306,0,5937
1411,0,5943
6726,4,71
2579,0,5061
890,0,3232
194,3,6760
3051,2,640
417,3,6464
199,3,6831
2994,2,341
503,3,6919
1493,0,7354
503,3,6561
2070,0,7374
497,3,6697
345,3,6674
2658,0,3196
2550,0,3312
291,3,6453
750,0,6062
2579,0,3972
458,3,6866
2148,1,2848
6526,4,7109
647,3,6945
2120,0,666
443,3,6795
1507,0,3377
6927,4,54
230,3,6482
388,3,6966
497,3,6496
1146,0,5904
2579,0,4330
2579,0,4168
2984,2,450
1719,1,3005
2579,0,5831
97,3,6439
2579,0,5448
287,3,6192
359,3,6773
6532,4,3228
889,1,2856
1135,0,6999
607,3,6899
2709,2,649
1828,1,2880
2200,0,6151
1286,0,56
2579,0,3940
2809,2,600
6623,4,6139
2874,2,168
503,3,6745
184,3,6867
736,0,3141
240,3,6707
628,3,6897
2579,0,3601
2021,0,7437
353,3,6954
2579,0,4591
112,3,6676
1369,1,2813
519,3,6203
6660,4,6037
251,3,6286
340,3,6468
1075,0,6984
528,3,6479
2154,0,7424
272,3,6339
378,3,6464
1133,0,7487
338,3,6953
691,0,3148
2579,0,5432
2579,0,4047
599,3,6551
2579,0,3939
388,3,6312
2250,0,3372
2579,0,5744
6667,4,6087
2908,2,609
2224,0,7364
6200,4,6016
1338,0,6074
288,3,6932
564,3,6609
1457,1,2880
6717,4,3362
178,3,6645
2579,0,3499
633,3,6808
6828,4,6030
2579,0,4215
2160,1,3100
6353,4,6037
290,3,6923
2579,0,5473
451,3,6234
562,3,6906
2579,0,4480
6362,4,5941
1962,0,76
2553,1,3064
910,0,7027
2579,0,4629
3076,2,590
2579,0,3804
234,3,6436
257,3,6804
1605,1,3087
616,3,6271
2289,1,2946
385,3,6837
2014,0,7456
110,3,6675
2579,0,3981
616,3,6330
1496,1,3064
2579,0,4062
185,3,6510
2579,0,3982
2579,0,4722
508,3,6327
620,3,6482
465,3,6500
495,3,6234
2579,0,4973
2704,2,408
417,3,6903
493,3,6515
474,3,6182
876,0,7042
568,3,6920
833,0,7047
411,3,6477
1879,0,5950
605,3,6649
6913,4,6030
2579,0,4169
506,3,6825
685,1,3064
2829,2,637
6356,4,3229
2746,2,351
443,3,6484
3056,2,436
204,3,6849
1353,0,3268
2579,0,4824
1693,0,7147
2579,0,4610
6822,4,6030
2579,0,5727
605,3,6285
2579,0,4822
222,3,6338
601,3,6368
539,3,6796
193,3,6580
2579,0,3571
586,3,6319
2402,1,2847
758,0,6022
339,3,6749
158,3,6968
1194,0,3265
6280,4,54
353,3,6533
2579,0,5104
2579,0,4311
102,3,6453
483,3,6409
1017,1,2951
697,1,3092
199,3,6364
1666,0,6148
483,3,6504
273,3,6224
2033,0,7348
6640,4,3183
1525,1,3087
2579,0,4156
2579,0,4733
1410,1,2880
618,3,6918
2625,0,6997
1131,0,7186
2579,0,4245
2663,0,3116
6568,4,3162
2321,0,5937
1083,1,2951
794,0,5892
2579,0,4350
2498,1,2873
619,3,6580
762,1,2956
1667,0,6074
1393,0,7389
945,0,7389
1600,0,3407
2579,0,5260
2232,0,7364
2579,0,5706
2579,0,4526
1777,0,6004
413,3,6435
382,3,6577
611,3,6700
2854,2,401
389,3,6497
1157,1,2735
460,3,6508
2579,0,4387
2725,2,205
925,0,7066
2579,0,5057
606,3,6826
2579,0,4068
1916,0,5995
276,3,6786
486,3,6729
2579,0,4171
2447,1,3056
1014,0,7396
144,3,6717
1873,0,5950
2433,1,2883
396,3,6882
513,3,6745
459,3,6417
130,3,6262
2579,0,4194
2267,0,3404
6894,4,6016
158,3,6595
2579,0,5328
1102,0,7488
336,3,6764
840,0,3279
2579,0,3793
2848,2,310
1007,0,7257
869,0,7034
112,3,6708
257,3,6569
105,3,6203
564,3,6506
622,3,6794
2579,0,4472
2405,1,2963
634,3,6783
877,1,3112
1450,1,2880
459,3,6510
2149,1,3056
528,3,6649
1130,0,7186
6696,4,6037
1170,0,5902
2821,2,204
2579,0,3993
2904,2,416
556,3,6930
120,3,6273
148,3,6331
641,3,6207
1659,0,7104
1956,1,3056
1204,1,2847
494,3,6929
467,3,6319
579,3,6244
6432,4,5917
2411,1,3092
466,3,6475
507,3,6444
2524,0,3124
1324,0,7070
97,3,6286
201,3,6454
1382,1,2905
2973,2,635
1240,0,3302
507,3,6366
375,3,6576
493,3,6682
516,3,6903
3078,2,250
278,3,6210
6901,4,6139
410,3,6749
982,0,3264
2497,0,6076
6304,4,6090
770,0,6048
1692,1,2972
2898,2,338
2579,0,5675
555,3,6649
1184,0,7251
3049,2,367
606,3,6821
507,3,6248
513,3,6900
1172,0,5902
510,3,6389
565,3,6510
1062,1,2882
926,1,3112
2834,2,295
2579,0,3737
2579,0,5521
2579,0,4096
1196,0,3265
235,3,6898
2018,0,7223
6631,4,5917
2579,0,4986
849,0,3190
1984,1,3064
3113,2,241
185,3,6507
6902,4,7106
473,3,6508
443,3,6748
2579,0,4965
493,3,6563
2104,1,3087
585,3,6955
2579,0,3443
2579,0,4907
2579,0,3419
205,3,6725
1868,1,2873
1637,1,2883
626,3,6713
1274,1,3049
1425,0,5991
1802,0,5993
2912,2,109
495,3,6959
6565,4,6037
2579,0,3532
2179,0,3319
6518,4,7118
417,3,6696
483,3,6353
1861,1,3000
6384,4,3183
175,3,6682
6893,4,3156
2579,0,3779
631,3,6244
2034,1,2894
2897,2,489
6768,4,6139
2848,2,306
6695,4,3228
6518,4,3183
2880,2,487
1893,1,2873
2579,0,4496
1763,0,5959
611,3,6520
949,1,2979
2848,2,523
409,3,6783
424,3,6942
1315,1,3092
6683,4,6037
1895,0,5966
2579,0,4264
6796,4,3228
457,3,6652
2579,0,4577
443,3,6417
1586,1,3060
2768,2,589
1156,0,5902
6687,4,7106
2546,1,3100
128,3,6243
503,3,6920
580,3,6648
1487,1,3046
1365,0,6074
2575,0,7352
976,1,2709
466,3,6866
1870,1,2894
1982,1,3064
2579,0,5130
417,3,6799
570,3,6726
2579,0,5128
249,3,6483
149,3,6467
306,3,6856
496,3,6427
409,3,6899
1814,0,5992
2217,0,7414
503,3,6595
2340,1,3031
465,3,6628
2881,2,577
2579,0,4909
2882,2,653
404,3,6921
212,3,6322
2537,0,5928
1591,0,70
2044,1,3056
1417,0,5999
2579,0,4914
337,3,6452
417,3,6303
2579,0,5452
1113,0,7387
2579,0,4107
216,3,6677
251,3,6554
516,3,6440
2835,2,636
510,3,6264
142,3,6816
1289,0,6075
6171,4,5941
618,3,6416
453,3,6551
1321,1,3076
1572,0,5
911,0,7030
3056,2,127
2579,0,5400
273,3,6218
497,3,6252
102,3,6357
1606,1,3087
1339,0,6051
6716,4,3183
2579,0,4004
573,3,6273
927,0,7041
2579,0,4951
1728,0,7293
303,3,6307
634,3,6595
1848,1,2880
1267,0,72
382,3,6464
506,3,6950
3020,2,250
1450,0,5956
2579,0,5545
2368,0,7087
2806,2,555
106,3,6823
2205,1,2894
1681,0,7182
2579,0,5823
108,3,6417
2542,0,17
639,3,6367
2045,0,7270
2579,0,4834
2579,0,4094
2579,0,3614
2936,2,632
1139,0,5902
489,3,6381
2579,0,4878
1523,0,7175
2219,0,7357
6200,4,3362
1440,0,6005
2579,0,4588
497,3,6551
1389,0,7159
486,3,6739
1409,1,2894
6496,4,7118
653,3,6715
1535,0,3218
691,1,2957
272,3,6201
594,3,6532
2834,2,629
831,1,2847
1142,1,3038
1782,1,2894
1520,1,3092
2579,0,5294
154,3,6259
2555,1,3011
2579,0,5716
989,1,2842
2574,0,7352
6772,4,7109
514,3,6469
2115,0,3127
2073,1,2849
303,3,6482
611,3,6389
634,3,6330
840,1,2854
191,3,6201
2373,1,2769
1136,1,2873
834,0,7039
6662,4,6038
182,3,6970
3029,2,231
1886,1,2880
455,3,6281
1405,0,5956
390,3,6507
2579,0,4008
2579,0,4489
259,3,6378
6444,4,6037
270,3,6461
6335,4,6086
702,1,3092
1870,1,2882
2579,0,5268
2579,0,4503
472,3,6576
268,3,6303
230,3,6944
2704,2,397
6441,4,6037
2579,0,4604
2579,0,4419
1980,0,5909
2579,0,3653
527,3,6793
469,3,6866
649,3,6409
594,3,6823
2829,2,639
2131,0,39
6717,4,3223
2579,0,4768
410,3,6870
6794,4,54
2160,0,7391
222,3,6786
2201,1,2904
261,3,6548
588,3,6598
497,3,6867
744,0,3344
2579,0,3560
6958,4,7108
6723,4,3223
2025,0,7477
2168,1,2883
2579,0,4868
104,3,6422
1364,1,2843
674,0,7344
585,3,6904
913,0,7029
2579,0,5244
587,3,6770
486,3,6705
603,3,6696
3001,2,336
6762,4,37
2131,1,2925
2579,0,5579
278,3,6343
159,3,6576
2471,0,3165
1133,1,3087
2579,0,5662
634,3,6964
2568,0,7334
2203,0,6155
2579,0,3762
2896,2,575
2544,1,2894
906,0,7055
831,1,3004
2145,1,2946
2091,1,2923
2033,1,2772
573,3,6358
2325,0,5937
893,0,3158
2579,0,5534
399,3,6780
2579,0,5572
2579,0,4763
1672,0,42
2579,0,5863
583,3,6683
468,3,6509
2579,0,3948
583,3,6528
1822,0,5968
513,3,6271
2579,0,5567
472,3,6675
1067,0,3359
2297,0,6076
6434,4,7108
799,0,3298
1586,0,3358
1944,1,2997
491,3,6344
2194,1,2962
650,3,6169
608,3,6700
485,3,6207
486,3,6745
2579,0,4942
2337,1,2916
399,3,6729
2517,0,3247
153,3,6853
1787,1,2873
272,3,6269
2122,1,2979
222,3,6576
2067,1,2979
2579,0,3514
1456,1,2880
2579,0,4034
2533,0,3124
2579,0,3893
342,3,6659
1169,0,5902
2579,0,4252
565,3,6682
230,3,6951
3092,2,624
2736,2,608
615,3,6598
2579,0,4277
1161,0,5902
6245,4,7109
2579,0,5380
2579,0,5310
1476,0,7364
235,3,6177
308,3,6876
6863,4,6030
530,3,6649
822,1,2842
486,3,6518
2246,1,2712
2579,0,3559
2579,0,5173
2743,2,117
2682,0,3278
234,3,6652
483,3,6506
342,3,6611
6866,4,6030
1096,1,3064
1509,1,2856
690,0,3316
352,3,6707
186,3,6954
2579,0,5164
268,3,6576
338,3,6508
1303,1,3076
2056,1,2978
2388,1,2947
2851,2,513
336,3,6766
6571,4,7108
1831,1,2942
1531,1,3087
2579,0,4565
518,3,6175
957,1,2929
1506,1,3064
2584,0,6997
2579,0,5438
606,3,6813
2579,0,5540
195,3,6404
1917,0,5985
2579,0,3733
3074,2,125
2171,0,7086
568,3,6627
1140,0,5902
565,3,6725
1885,1,2882
2204,1,2856
1962,1,3065
2579,0,4079
182,3,6496
6811,4,6030
2924,2,126
1743,0,7364
2654,0,3305
2579,0,5008
1746,1,3087
6630,4,54
707,1,3092
2540,0,7464
615,3,6215
1090,0,30
1271,1,3055
330,3,6453
2579,0,3445
204,3,6888
425,3,6594
2203,1,3025
104,3,6307
2782,2,174
359,3,6747
608,3,6505
1607,0,7446
6964,4,6087
2870,2,493
234,3,6795
482,3,6243
881,1,3112
227,3,6869
388,3,6337
597,3,6187
184,3,6511
2273,0,6074
1724,0,7277
647,3,6554
2579,0,5792
391,3,6563
6200,4,54
2387,1,3056
985,1,2709
2342,0,6081
1398,0,3171
443,3,6500
616,3,6536
6777,4,3163
6603,4,6037
2579,0,3847
2386,1,2848
226,3,6404
734,0,3144
2579,0,5797
1273,1,3049
6519,4,7083
1795,0,5992
2749,2,480
573,3,6419
2633,0,7300
2579,0,4141
2579,0,5733
455,3,6572
590,3,6301
2579,0,5062
2895,2,498
530,3,6483
3049,2,600
885,0,7022
2579,0,3495
523,3,6301
910,1,3112
502,3,6458
410,3,6484
6527,4,3223
2662,0,3115
3049,2,397
2579,0,3642
3041,2,624
2579,0,3955
2870,2,484
2579,0,4089
258,3,6259
6251,4,6087
6629,4,6037
641,3,6782
2548,1,2884
2960,2,273
2579,0,5653
1608,0,7443
6694,4,5941
6437,4,6037
1562,0,3216
459,3,6399
1320,0,6031
618,3,6921
584,3,6236
219,3,6760
2579,0,4516
2639,1,2963
518,3,6352
2579,0,4429
1226,1,3101
1437,0,6005
2962,2,220
2253,0,7482
211,3,6518
1979,0,5910
1792,0,5993
942,0,3247
226,3,6698
2579,0,3446
308,3,6612
607,3,6530
1018,1,2951
2579,0,4585
1781,0,5990
6790,4,7108
1882,0,5962
1193,1,2951
607,3,6964
951,0,3294
241,3,6479
381,3,6495
2579,0,4700
128,3,6759
2082,0,7346
1210,1,2951
215,3,6548
6204,4,7108
903,1,3112
483,3,6470
2629,1,2848
607,3,6182
481,3,6861
306,3,6709
2579,0,4457
1915,1,2880
573,3,6258
2579,0,5305
2579,0,5291
2579,0,3413
